config,T,d_T,CO2,d_CO2,Td,Hgla,Hgis,Hais_smb,Hais,Co_1,Co_2,Co_3,Co_4,Co_5,Cd,Cv,Cs1,Cs2,Cs3,a,Cth_1,Cth_2,Cth_3,ERFx,Eco2
43,0.9915234,0.036828317,400.028,2.4782474,0.37047106,81.27382,35.148037,-7.7251406,11.370207,3.163,2.3164253,3.1927426,2.6556277,2.318394,141.84435,558.0627,97.88728,231.84537,624.8997,0.17911415,0.872728,7.540869,66.20154,0.5396043,9.731331
44,1.1236312,0.03574701,399.86206,2.473888,0.108915746,125.94987,64.3814,-16.202803,44.665783,1.5293677,1.2863346,2.24166,2.5582883,2.673871,169.87936,569.576,37.301502,394.3853,1081.7727,0.24950485,1.0772833,12.114191,120.791336,0.1395108,10.991244
45,1.1396663,0.042683296,399.6776,2.6185002,0.18902834,126.16085,88.94975,-10.866791,-14.734256,2.6841905,2.057432,3.025123,2.7594423,2.5149999,156.07246,570.1672,92.30926,286.52448,478.47186,0.23956966,1.3759882,15.690036,154.74098,0.9325522,9.69869
46,1.1101043,0.030095939,399.94366,2.4704306,0.15034513,55.87666,117.70396,-13.829346,15.391736,1.7719829,1.4651433,2.5205235,2.952745,3.2113204,204.33823,492.25983,60.020447,1021.31384,424.94516,0.043305345,0.3195834,2.6084332,22.721535,1.084964,11.487456
47,1.0516489,0.04100144,400.0345,2.4744847,0.12456981,115.45608,48.52052,-12.023615,19.367111,1.6173887,1.3266654,2.1461458,2.192863,2.1228657,133.44186,560.1395,45.40846,148.77005,744.8569,0.11929162,1.0640942,7.1100373,58.56029,-0.17512417,9.772685
48,1.0942109,0.041403912,399.9371,2.4609537,0.33388966,135.99461,60.75573,-19.148252,9.747248,2.550161,1.9584236,2.8752246,2.6419003,2.4222546,150.44308,551.22656,67.05104,220.18571,534.5025,0.2663572,0.46683154,6.7755575,76.58208,0.45352083,9.762415
49,1.0962826,0.0427804,399.98474,2.4597085,0.20020786,70.11226,86.6471,-11.61538,35.15052,2.9587066,2.1825604,3.0527787,2.54178,2.2075276,135.279,565.30286,113.86864,172.60724,912.4759,0.25023654,0.6915993,10.545662,121.12305,0.7524141,10.022859
50,1.1342146,0.031136248,400.04678,2.4789608,0.18446897,72.220924,77.015396,-9.492149,14.22201,2.6372473,2.0143077,2.847426,2.475071,2.2095246,136.26779,543.8009,425.6534,256.58966,582.6261,0.08745558,0.053888362,0.9239375,21.94115,0.579455,9.008161
51,1.031276,0.03617574,399.82846,2.4905384,0.17412652,69.61766,109.93095,-11.967318,39.94449,2.0683193,1.5971508,2.3772979,2.066883,1.798208,110.87648,507.8768,87.89186,593.02673,435.41187,0.1404684,0.7569417,7.4213305,68.367676,0.5306182,9.913044
52,0.98505247,0.03253489,399.95126,2.4738243,0.18138507,66.34171,52.84913,-7.895311,16.452692,2.8182335,2.153541,3.19316,2.972733,2.7447896,170.69453,526.44885,128.86275,121.18347,509.3333,0.013591421,0.09002139,0.5745951,4.6986566,0.5734574,10.050028
53,1.0795014,0.037413694,400.12524,2.4708066,0.17933169,51.404846,86.15242,-7.131688,13.750124,3.0120826,2.2670052,3.251452,2.8330977,2.5286145,155.90265,515.29736,33.091747,434.15912,696.3812,0.143953,0.24598153,4.6745124,69.238686,0.20739886,10.376752
54,1.1150336,0.043440446,399.97827,2.462206,0.16176197,35.632713,77.171936,-20.196012,57.027077,3.1289613,2.2558942,3.03085,2.3205025,1.9213871,116.18038,584.1206,55.936333,408.2688,541.6864,0.12890469,0.9880654,6.3864226,52.33717,1.559926,11.381037
55,1.09519,0.041297268,399.9826,2.484957,0.21369365,34.963383,95.50718,-18.335812,31.901112,2.846594,2.066783,2.8154905,2.3255696,2.024335,123.79048,579.9686,78.68415,293.8297,1492.7722,0.115348004,0.6903695,4.2153115,34.12695,0.21969178,8.910513
56,1.0951613,0.03520242,399.93,2.4629915,0.15401304,101.30534,69.23666,-14.086042,38.744057,3.0988297,2.3146987,3.2186599,2.619862,2.242972,136.87021,523.2445,104.926926,741.3399,882.39954,0.020655934,0.1420641,1.1436995,9.947806,0.05001546,10.600636
57,1.085118,0.03756498,400.076,2.4372716,0.0897518,50.97581,115.04991,-15.930864,30.98962,2.0034268,1.6194786,2.5549183,2.4750905,2.310137,144.43066,528.19885,219.29153,237.70576,202.47195,0.20484857,0.34091443,5.722109,74.07251,0.8508852,9.261785
58,1.0169837,0.03625709,399.90247,2.482668,0.10906847,48.12283,80.301285,-14.032018,42.54061,2.1936307,1.7171961,2.5681758,2.3281662,2.103691,130.47513,580.74426,45.3888,454.86353,493.93344,0.10308312,0.62032473,5.015561,43.63855,0.15393904,10.668267
59,1.047199,0.04890738,399.8214,2.4711068,0.27811542,90.44212,96.53637,-13.941913,30.58371,2.2953758,1.7806263,2.6875515,2.4789228,2.2571125,140.23618,522.1579,107.36641,658.5282,315.75162,0.17445126,0.86381304,7.9326644,74.93646,0.14055815,11.012091
60,1.1147392,0.039676487,399.81732,2.432238,0.095503956,50.414787,84.112526,-12.437506,29.650995,2.138184,1.6498839,2.4640412,2.294178,2.1182857,131.77959,540.9762,84.75273,229.61447,630.0502,0.24702159,1.9977871,12.881307,105.95377,0.14840874,9.729207
61,0.97562665,0.042827174,399.86118,2.4795852,0.32670325,103.284424,108.33561,-9.362371,24.256008,3.1781883,2.3341174,3.2692535,2.8130832,2.49496,153.49214,570.996,170.05847,643.4204,354.02313,0.09865986,0.3394044,4.3236427,43.426483,0.48797527,9.108549
62,1.0366757,0.039860208,399.96072,2.4760478,0.20375642,105.1823,75.99003,-16.995958,49.99994,1.8122896,1.5224266,2.5146775,2.6938014,2.7008579,170.78511,542.8485,173.58107,221.02823,516.8775,0.08076481,0.4375167,3.2512043,27.486835,-0.33469826,10.718521
63,1.0609874,0.020871492,399.8645,2.7289374,0.33846694,94.761086,95.4496,-20.885162,34.020966,2.8578954,2.1210487,2.927568,2.456245,2.15567,132.2352,575.4061,82.356766,229.2316,869.98517,0.26522407,1.8793733,15.599089,138.31252,0.9000786,10.661208
64,1.0180105,0.038718265,399.95224,2.4590297,0.09599883,84.361534,112.69684,-12.044714,41.05683,2.5363064,1.9536421,2.8682268,2.5629387,2.3026965,142.5594,551.64264,579.7734,409.31183,610.0685,0.109582506,0.49546576,4.6122456,42.481346,0.24167557,11.347715
65,1.102099,0.053934675,399.9416,2.4579005,0.35177964,91.84946,52.065346,-12.023283,15.417389,2.6841848,2.0398,2.9340026,2.6497178,2.4116707,149.37492,541.89417,105.34926,508.5857,540.0586,0.14910743,0.5325755,6.1681976,61.36314,0.6013568,10.064145
66,1.0603561,0.039042242,399.8807,2.474381,0.19560686,79.03615,57.864086,-10.51156,3.1129346,2.4025054,1.946832,3.1721501,3.2490704,3.1506667,198.18802,492.94833,194.47148,127.846115,941.6867,0.12350364,1.0669369,4.1998177,31.58559,-0.36851996,10.198551
67,0.98837405,0.03753277,400.03726,2.3651712,0.04578929,79.48336,57.900513,-7.6245437,51.88435,1.9407841,1.5697484,2.4638467,2.4722736,2.3768766,149.23067,537.17365,140.69095,206.21062,937.05145,0.07592817,0.70284,3.44025,26.661402,0.035288095,9.517353
68,1.1556721,0.048201017,399.9156,2.4969265,0.54313517,98.35956,64.161705,-10.172052,2.8911338,2.3103156,1.82759,2.817964,2.7586007,2.620161,164.0299,582.72003,101.31264,414.09576,423.15396,0.1282821,0.97009295,7.8343062,69.91887,-0.005327797,11.144659
69,1.1242012,0.0452943,399.81888,2.4846227,0.09817606,122.72617,43.936287,-13.135745,22.053925,1.7120922,1.3175949,2.037746,1.9062083,1.7397457,108.238785,496.0019,57.39375,444.09375,998.7543,0.093677774,1.8850712,6.987521,52.33547,0.8066967,9.522359
70,1.109468,0.038347147,399.67798,2.4736137,0.2521389,119.7629,42.135582,-18.610893,18.617434,2.0503616,1.6505392,2.5110536,2.3332405,2.1298172,132.59766,443.49567,47.702587,422.3859,364.13403,0.08521411,0.1981135,2.8185372,32.56127,1.0139377,9.550374
71,1.1101714,0.055669867,399.8791,2.5207965,0.21937366,37.47462,86.44429,-19.277859,40.90412,3.0347948,2.2875419,3.2465458,2.8179574,2.5084393,154.53171,611.6411,45.09414,114.755875,649.69415,0.040338363,0.20865294,1.3545377,11.2751875,0.71317434,10.167538
72,1.0561948,0.03643297,399.92786,2.480007,0.4064277,64.276566,52.79837,-9.5838375,20.814627,2.6395879,1.9816669,2.8222027,2.4051998,2.1129584,129.85197,623.708,58.57447,577.13837,313.8702,0.102349676,0.34420604,3.7474647,35.78269,0.006415176,11.206402
73,1.1501288,0.045225173,400.03705,2.474159,0.16123323,72.15497,66.758286,-10.625239,29.88329,2.4566734,1.9424646,3.0228267,2.9055114,2.716999,169.64691,474.0639,117.142395,74.52269,1063.662,0.10503787,0.24092944,3.8090224,44.04519,1.6439455,10.036711
74,1.1214421,0.043929685,399.98474,2.4709961,0.14027044,38.230377,61.637623,-10.839246,14.055922,2.6239076,1.9274454,2.7126117,2.3732746,2.1251092,131.08138,550.0497,70.041916,220.69963,648.2364,0.19994736,0.5148327,7.84131,90.676285,0.45715612,9.747376
